experiment_run_id,manifest_id,source_git_commit,case_id,condition_id,seed,mechanism_class_oracle,decision_required,method,probe_requested,mechanism_prediction,mechanism_correct,diagnostic_probe_needed_oracle,initial_environment_steps,probe_environment_steps,verification_environment_steps,adaptation_environment_steps,total_physical_environment_steps
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0001,fault_01,330,stable_bias,False,passive,False,stable_bias,True,False,54,0,0,0,54
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0001,fault_01,330,stable_bias,False,seeded_random_probe,False,stable_bias,True,False,54,0,0,0,54
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0001,fault_01,330,stable_bias,False,always_probe,False,stable_bias,True,False,54,0,0,0,54
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0001,fault_01,330,stable_bias,False,global_temporal_gate,False,stable_bias,True,False,54,0,0,0,54
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0001,fault_01,330,stable_bias,False,frozen_phase_conditioned_gate,False,stable_bias,True,False,54,0,0,0,54
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0001,fault_01,330,stable_bias,False,oracle_audit,False,stable_bias,True,False,54,0,0,0,54
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0002,fault_01,331,stable_bias,False,passive,False,stable_bias,True,False,167,0,0,0,167
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0002,fault_01,331,stable_bias,False,seeded_random_probe,False,stable_bias,True,False,167,0,0,0,167
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0002,fault_01,331,stable_bias,False,always_probe,False,stable_bias,True,False,167,0,0,0,167
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0002,fault_01,331,stable_bias,False,global_temporal_gate,False,stable_bias,True,False,167,0,0,0,167
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0002,fault_01,331,stable_bias,False,frozen_phase_conditioned_gate,False,stable_bias,True,False,167,0,0,0,167
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0002,fault_01,331,stable_bias,False,oracle_audit,False,stable_bias,True,False,167,0,0,0,167
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0003,fault_01,332,stable_bias,True,passive,False,stable_bias,True,False,500,0,0,0,500
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0003,fault_01,332,stable_bias,True,seeded_random_probe,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0003,fault_01,332,stable_bias,True,always_probe,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0003,fault_01,332,stable_bias,True,global_temporal_gate,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0003,fault_01,332,stable_bias,True,frozen_phase_conditioned_gate,False,stable_bias,True,False,500,0,0,0,500
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0003,fault_01,332,stable_bias,True,oracle_audit,False,stable_bias,True,False,500,0,0,0,500
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0004,fault_01,333,stable_bias,False,passive,False,stable_bias,True,False,67,0,0,0,67
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0004,fault_01,333,stable_bias,False,seeded_random_probe,False,stable_bias,True,False,67,0,0,0,67
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0004,fault_01,333,stable_bias,False,always_probe,False,stable_bias,True,False,67,0,0,0,67
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0004,fault_01,333,stable_bias,False,global_temporal_gate,False,stable_bias,True,False,67,0,0,0,67
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0004,fault_01,333,stable_bias,False,frozen_phase_conditioned_gate,False,stable_bias,True,False,67,0,0,0,67
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0004,fault_01,333,stable_bias,False,oracle_audit,False,stable_bias,True,False,67,0,0,0,67
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0005,fault_01,334,stable_bias,True,passive,False,stable_bias,True,False,500,0,0,0,500
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0005,fault_01,334,stable_bias,True,seeded_random_probe,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0005,fault_01,334,stable_bias,True,always_probe,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0005,fault_01,334,stable_bias,True,global_temporal_gate,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0005,fault_01,334,stable_bias,True,frozen_phase_conditioned_gate,False,stable_bias,True,False,500,0,0,0,500
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0005,fault_01,334,stable_bias,True,oracle_audit,False,stable_bias,True,False,500,0,0,0,500
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0006,fault_01,335,stable_bias,True,passive,False,stable_bias,True,False,500,0,0,0,500
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0006,fault_01,335,stable_bias,True,seeded_random_probe,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0006,fault_01,335,stable_bias,True,always_probe,True,stable_bias,True,False,500,64,0,64,564
heldout_20260731T015847Z_a39271db862f,a39271db862f28574ad9eb47de4b2bf476950b58749b21baaac59117cf75981c,c656ad787e5d77174ecbf8e76cdaf9c1b6ac1dab,heldout_case_0006,fault_01,335,stable_bias,True,global_temporal_gate,True,stable_bias,True,False,500,64,0,64,564
