episode_id,seed,segment_id_oracle,regime_id_oracle,method,ambiguous,deterministic_skill,glm_proposed_skill,memory_preference,override_authorized,fallback_used,api_called,selected_skill,verification_status,abstain
21,4500,bias_dominant,A_bias_low_noise,FROZEN_VARIANCE_RULE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
21,4500,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_STATELESS_GLM,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
21,4500,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_FALLBACK,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
21,4500,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_ABSTAIN,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
21,4500,bias_dominant,A_bias_low_noise,EVALUATOR_ONLY_ORACLE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,False
22,4501,bias_dominant,C_bias_dominant_mixed,FROZEN_VARIANCE_RULE,True,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
22,4501,bias_dominant,C_bias_dominant_mixed,AMBIGUITY_GATED_STATELESS_GLM,True,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,,True,False,True,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False
22,4501,bias_dominant,C_bias_dominant_mixed,AMBIGUITY_GATED_MEMORY_FALLBACK,True,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,False,True,True,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
22,4501,bias_dominant,C_bias_dominant_mixed,AMBIGUITY_GATED_MEMORY_ABSTAIN,True,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,False,True,True,,ABSTAIN,True
22,4501,bias_dominant,C_bias_dominant_mixed,EVALUATOR_ONLY_ORACLE,True,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
23,4504,bias_dominant,A_bias_low_noise,FROZEN_VARIANCE_RULE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
23,4504,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_STATELESS_GLM,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
23,4504,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_FALLBACK,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
23,4504,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_ABSTAIN,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
23,4504,bias_dominant,A_bias_low_noise,EVALUATOR_ONLY_ORACLE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
24,4506,bias_dominant,A_bias_low_noise,FROZEN_VARIANCE_RULE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
24,4506,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_STATELESS_GLM,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
24,4506,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_FALLBACK,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
24,4506,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_ABSTAIN,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
24,4506,bias_dominant,A_bias_low_noise,EVALUATOR_ONLY_ORACLE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
25,4509,bias_dominant,C_bias_dominant_mixed,FROZEN_VARIANCE_RULE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
25,4509,bias_dominant,C_bias_dominant_mixed,AMBIGUITY_GATED_STATELESS_GLM,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
25,4509,bias_dominant,C_bias_dominant_mixed,AMBIGUITY_GATED_MEMORY_FALLBACK,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
25,4509,bias_dominant,C_bias_dominant_mixed,AMBIGUITY_GATED_MEMORY_ABSTAIN,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
25,4509,bias_dominant,C_bias_dominant_mixed,EVALUATOR_ONLY_ORACLE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
26,4512,bias_dominant,A_bias_low_noise,FROZEN_VARIANCE_RULE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
26,4512,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_STATELESS_GLM,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
26,4512,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_FALLBACK,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
26,4512,bias_dominant,A_bias_low_noise,AMBIGUITY_GATED_MEMORY_ABSTAIN,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
26,4512,bias_dominant,A_bias_low_noise,EVALUATOR_ONLY_ORACLE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,False
27,4513,bias_dominant,C_bias_dominant_mixed,FROZEN_VARIANCE_RULE,False,BOUNDED_PLANAR_COMPENSATION,,,False,False,False,BOUNDED_PLANAR_COMPENSATION,REJECTED,False
